"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2025","1.0491","1.0291","1.0515","1.0285","","1.59%"
"02/02/2025","1.0327","1.0288","1.0444","1.0146","","-0.34%"
"01/26/2025","1.0362","1.0486","1.0534","1.0350","","-1.25%"
"01/19/2025","1.0493","1.0276","1.0523","1.0266","","2.16%"
"01/12/2025","1.0271","1.0241","1.0355","1.0178","","0.26%"
"01/05/2025","1.0244","1.0303","1.0438","1.0216","","-0.62%"
"12/29/2024","1.0308","1.0433","1.0459","1.0225","","-1.14%"
"12/22/2024","1.0427","1.0425","1.0446","1.0383","","-0.02%"
"12/15/2024","1.0429","1.0497","1.0535","1.0343","","-0.70%"
"12/08/2024","1.0502","1.0563","1.0595","1.0453","","-0.62%"
"12/01/2024","1.0568","1.0577","1.0631","1.0460","","-0.07%"
"11/24/2024","1.0575","1.0448","1.0598","1.0425","","1.52%"
"11/17/2024","1.0417","1.0535","1.0611","1.0334","","-1.18%"
"11/10/2024","1.0541","1.0713","1.0728","1.0496","","-1.65%"
"11/03/2024","1.0718","1.0860","1.0938","1.0682","","-1.07%"
"10/27/2024","1.0834","1.0797","1.0905","1.0769","","0.38%"
"10/20/2024","1.0793","1.0861","1.0872","1.0761","","-0.67%"
"10/13/2024","1.0866","1.0933","1.0937","1.0811","","-0.65%"
"10/06/2024","1.0937","1.0976","1.0998","1.0899","","-0.36%"
"09/29/2024","1.0976","1.1159","1.1209","1.0951","","-1.68%"
"09/22/2024","1.1163","1.1163","1.1214","1.1083","","0.01%"
"09/15/2024","1.1162","1.1078","1.1190","1.1068","","0.78%"
"09/08/2024","1.1076","1.1082","1.1102","1.1002","","-0.06%"
"09/01/2024","1.1083","1.1047","1.1156","1.1026","","0.33%"
"08/25/2024","1.1047","1.1188","1.1202","1.1044","","-1.28%"
"08/18/2024","1.1190","1.1024","1.1200","1.1022","","1.47%"
"08/11/2024","1.1028","1.0915","1.1048","1.0911","","1.03%"
"08/04/2024","1.0916","1.0922","1.1008","1.0882","","0.07%"
"07/28/2024","1.0908","1.0864","1.0927","1.0776","","0.47%"
"07/21/2024","1.0857","1.0881","1.0904","1.0826","","-0.18%"
"07/14/2024","1.0877","1.0887","1.0948","1.0871","","-0.27%"
"07/07/2024","1.0906","1.0809","1.0912","1.0802","","0.65%"
"06/30/2024","1.0836","1.0728","1.0843","1.0709","","1.15%"
"06/23/2024","1.0713","1.0688","1.0747","1.0666","","0.21%"
"06/16/2024","1.0691","1.0702","1.0762","1.0670","","-0.08%"
"06/09/2024","1.0700","1.0797","1.0853","1.0668","","-0.93%"
"06/02/2024","1.0800","1.0851","1.0917","1.0799","","-0.38%"
"05/26/2024","1.0841","1.0854","1.0890","1.0788","","-0.04%"
"05/19/2024","1.0845","1.0866","1.0885","1.0805","","-0.23%"
"05/12/2024","1.0870","1.0774","1.0896","1.0766","","0.94%"
"05/05/2024","1.0769","1.0762","1.0791","1.0724","","0.10%"
"04/28/2024","1.0758","1.0695","1.0813","1.0649","","0.62%"
"04/21/2024","1.0692","1.0656","1.0754","1.0623","","0.36%"
"04/14/2024","1.0654","1.0637","1.0690","1.0601","","0.11%"
"04/07/2024","1.0642","1.0843","1.0886","1.0622","","-1.78%"
"03/31/2024","1.0835","1.0788","1.0877","1.0724","","0.39%"
"03/24/2024","1.0793","1.0808","1.0865","1.0767","","-0.11%"
"03/17/2024","1.0805","1.0893","1.0943","1.0802","","-0.75%"
"03/10/2024","1.0887","1.0944","1.0964","1.0872","","-0.46%"
"03/03/2024","1.0937","1.0842","1.0982","1.0838","","0.92%"
"02/25/2024","1.0837","1.0826","1.0867","1.0795","","0.18%"
"02/18/2024","1.0818","1.0776","1.0889","1.0761","","0.41%"
"02/11/2024","1.0774","1.0781","1.0806","1.0695","","-0.07%"
"02/04/2024","1.0782","1.0784","1.0796","1.0723","","-0.02%"
"01/28/2024","1.0784","1.0849","1.0898","1.0779","","-0.63%"
"01/21/2024","1.0852","1.0891","1.0933","1.0812","","-0.41%"
"01/14/2024","1.0897","1.0955","1.0969","1.0844","","-0.47%"
"01/07/2024","1.0949","1.0946","1.0991","1.0910","","0.07%"
"12/31/2023","1.0941","1.1044","1.1048","1.0876","","-0.86%"
"12/24/2023","1.1036","1.1017","1.1141","1.0993","","0.24%"
"12/17/2023","1.1010","1.0903","1.1041","1.0891","","1.06%"
"12/10/2023","1.0894","1.0762","1.1010","1.0741","","1.24%"
"12/03/2023","1.0761","1.0887","1.0896","1.0723","","-1.10%"
"11/26/2023","1.0881","1.0937","1.1018","1.0828","","-0.53%"
"11/19/2023","1.0939","1.0913","1.0965","1.0852","","0.29%"
"11/12/2023","1.0907","1.0684","1.0917","1.0664","","2.12%"
"11/05/2023","1.0681","1.0729","1.0757","1.0655","","-0.45%"
"10/29/2023","1.0729","1.0566","1.0747","1.0517","","1.56%"
"10/22/2023","1.0564","1.0594","1.0695","1.0522","","-0.27%"
"10/15/2023","1.0593","1.0507","1.0618","1.0507","","0.80%"
"10/08/2023","1.0509","1.0563","1.0640","1.0495","","-0.73%"
"10/01/2023","1.0586","1.0568","1.0601","1.0448","","0.15%"
"09/24/2023","1.0570","1.0655","1.0656","1.0488","","-0.77%"
"09/17/2023","1.0652","1.0663","1.0738","1.0614","","-0.03%"
"09/10/2023","1.0655","1.0716","1.0769","1.0631","","-0.41%"
"09/03/2023","1.0699","1.0777","1.0810","1.0686","","-0.69%"
"08/27/2023","1.0773","1.0801","1.0947","1.0771","","-0.25%"
"08/20/2023","1.0800","1.0878","1.0932","1.0766","","-0.60%"
"08/13/2023","1.0865","1.0953","1.0961","1.0845","","-0.72%"
"08/06/2023","1.0944","1.1018","1.1065","1.0928","","-0.60%"
"07/30/2023","1.1010","1.1023","1.1047","1.0912","","-0.05%"
"07/23/2023","1.1015","1.1127","1.1150","1.0943","","-0.97%"
"07/16/2023","1.1123","1.1235","1.1277","1.1107","","-0.93%"
"07/09/2023","1.1227","1.0971","1.1245","1.0943","","2.37%"
"07/02/2023","1.0967","1.0911","1.0975","1.0833","","0.52%"
"06/25/2023","1.0910","1.0897","1.0977","1.0834","","0.19%"
"06/18/2023","1.0889","1.0942","1.1012","1.0843","","-0.40%"
"06/11/2023","1.0933","1.0751","1.0971","1.0733","","1.73%"
"06/04/2023","1.0747","1.0712","1.0788","1.0667","","0.38%"
"05/28/2023","1.0706","1.0726","1.0780","1.0634","","-0.17%"
"05/21/2023","1.0724","1.0814","1.0832","1.0701","","-0.72%"
"05/14/2023","1.0802","1.0856","1.0905","1.0760","","-0.42%"
"05/07/2023","1.0848","1.1033","1.1055","1.0848","","-1.53%"
"04/30/2023","1.1017","1.1035","1.1092","1.0941","","-0.03%"
"04/23/2023","1.1020","1.0991","1.1096","1.0962","","0.30%"
"04/16/2023","1.0987","1.0990","1.1000","1.0908","","-0.12%"
"04/09/2023","1.1000","1.0901","1.1077","1.0831","","0.95%"
"04/02/2023","1.0897","1.0847","1.0974","1.0788","","0.54%"
"03/26/2023","1.0839","1.0767","1.0927","1.0745","","0.74%"
"03/19/2023","1.0759","1.0697","1.0931","1.0631","","0.87%"
"03/12/2023","1.0666","1.0647","1.0761","1.0516","","0.22%"
"03/05/2023","1.0643","1.0619","1.0702","1.0524","","0.10%"
"02/26/2023","1.0632","1.0541","1.0692","1.0532","","0.82%"
"02/19/2023","1.0546","1.0688","1.0705","1.0536","","-1.38%"
"02/12/2023","1.0694","1.0679","1.0805","1.0612","","0.18%"
"02/05/2023","1.0675","1.0790","1.0799","1.0666","","-1.09%"
"01/29/2023","1.0793","1.0875","1.1034","1.0791","","-0.68%"
"01/22/2023","1.0867","1.0860","1.0930","1.0834","","0.11%"
"01/15/2023","1.0855","1.0834","1.0889","1.0766","","0.25%"
"01/08/2023","1.0828","1.0637","1.0869","1.0636","","1.73%"
"01/01/2023","1.0644","1.0702","1.0708","1.0483","","-0.54%"
"12/25/2022","1.0702","1.0611","1.0714","1.0604","","0.83%"
"12/18/2022","1.0614","1.0591","1.0660","1.0573","","0.30%"
"12/11/2022","1.0582","1.0528","1.0737","1.0506","","0.49%"
"12/04/2022","1.0530","1.0517","1.0596","1.0443","","-0.08%"
"11/27/2022","1.0538","1.0382","1.0546","1.0289","","1.38%"
"11/20/2022","1.0395","1.0318","1.0450","1.0223","","0.69%"
"11/13/2022","1.0324","1.0366","1.0481","1.0271","","-0.27%"
"11/06/2022","1.0352","0.9911","1.0365","0.9899","","3.94%"
"10/30/2022","0.9960","0.9947","0.9977","0.9729","","-0.03%"
"10/23/2022","0.9963","0.9867","1.0094","0.9807","","1.04%"
"10/16/2022","0.9860","0.9726","0.9876","0.9704","","1.45%"
"10/09/2022","0.9719","0.9736","0.9809","0.9632","","-0.23%"
"10/02/2022","0.9741","0.9800","1.0000","0.9725","","-0.59%"
"09/25/2022","0.9799","0.9679","0.9855","0.9535","","1.12%"
"09/18/2022","0.9690","1.0012","1.0051","0.9668","","-3.25%"
"09/11/2022","1.0015","1.0080","1.0199","0.9944","","-0.24%"
"09/04/2022","1.0039","0.9950","1.0114","0.9863","","0.88%"
"08/28/2022","0.9951","0.9977","1.0079","0.9911","","-0.10%"
"08/21/2022","0.9961","1.0041","1.0091","0.9900","","-0.73%"
"08/14/2022","1.0034","1.0263","1.0270","1.0031","","-2.18%"
"08/07/2022","1.0258","1.0179","1.0369","1.0158","","0.76%"
"07/31/2022","1.0181","1.0218","1.0295","1.0122","","-0.36%"
"07/24/2022","1.0218","1.0212","1.0259","1.0096","","0.08%"
"07/17/2022","1.0210","1.0085","1.0279","1.0078","","1.22%"
"07/10/2022","1.0087","1.0173","1.0185","0.9952","","-0.94%"
"07/03/2022","1.0183","1.0424","1.0464","1.0072","","-2.35%"
"06/26/2022","1.0428","1.0555","1.0616","1.0366","","-1.19%"
"06/19/2022","1.0554","1.0472","1.0606","1.0468","","0.53%"
"06/12/2022","1.0498","1.0513","1.0602","1.0359","","-0.16%"
"06/05/2022","1.0515","1.0722","1.0775","1.0505","","-1.89%"
"05/29/2022","1.0718","1.0737","1.0788","1.0626","","-0.08%"
"05/22/2022","1.0727","1.0572","1.0766","1.0558","","1.58%"
"05/15/2022","1.0560","1.0405","1.0608","1.0388","","1.43%"
"05/08/2022","1.0411","1.0552","1.0594","1.0350","","-1.33%"
"05/01/2022","1.0551","1.0550","1.0642","1.0482","","0.09%"
"04/24/2022","1.0541","1.0841","1.0842","1.0471","","-2.34%"
"04/17/2022","1.0794","1.0805","1.0937","1.0761","","-0.11%"
"04/10/2022","1.0806","1.0935","1.0951","1.0757","","-0.64%"
"04/03/2022","1.0876","1.1039","1.1056","1.0836","","-1.60%"
"03/27/2022","1.1053","1.0989","1.1185","1.0944","","0.66%"
"03/20/2022","1.0981","1.1059","1.1070","1.0960","","-0.67%"
"03/13/2022","1.1055","1.0943","1.1138","1.0900","","1.34%"
"03/06/2022","1.0909","1.0953","1.1121","1.0805","","-0.16%"
"02/27/2022","1.0926","1.1179","1.1247","1.0886","","-3.03%"
"02/20/2022","1.1267","1.1315","1.1391","1.1106","","-0.48%"
"02/13/2022","1.1321","1.1344","1.1396","1.1279","","-0.25%"
"02/06/2022","1.1349","1.1468","1.1496","1.1329","","-0.85%"
"01/30/2022","1.1446","1.1147","1.1485","1.1138","","2.72%"
"01/23/2022","1.1143","1.1343","1.1346","1.1121","","-1.74%"
"01/16/2022","1.1340","1.1414","1.1436","1.1300","","-0.65%"
"01/09/2022","1.1414","1.1353","1.1484","1.1285","","0.48%"
"01/02/2022","1.1359","1.1365","1.1381","1.1272","","-0.08%"
"12/26/2021","1.1368","1.1318","1.1387","1.1273","","0.45%"
"12/19/2021","1.1317","1.1242","1.1344","1.1234","","0.69%"
"12/12/2021","1.1239","1.1316","1.1361","1.1221","","-0.64%"
"12/05/2021","1.1311","1.1321","1.1356","1.1228","","-0.02%"
"11/28/2021","1.1313","1.1309","1.1384","1.1236","","-0.04%"
"11/21/2021","1.1317","1.1292","1.1331","1.1185","","0.26%"
"11/14/2021","1.1288","1.1452","1.1465","1.1250","","-1.41%"
"11/07/2021","1.1450","1.1555","1.1609","1.1432","","-1.00%"
"10/31/2021","1.1566","1.1559","1.1617","1.1513","","0.04%"
"10/24/2021","1.1561","1.1644","1.1693","1.1535","","-0.74%"
"10/17/2021","1.1647","1.1597","1.1670","1.1571","","0.41%"
"10/10/2021","1.1600","1.1571","1.1625","1.1524","","0.29%"
"10/03/2021","1.1567","1.1593","1.1641","1.1529","","-0.23%"
"09/26/2021","1.1594","1.1724","1.1728","1.1562","","-1.02%"
"09/19/2021","1.1714","1.1732","1.1757","1.1683","","-0.09%"
"09/12/2021","1.1725","1.1813","1.1846","1.1724","","-0.75%"
"09/05/2021","1.1814","1.1879","1.1888","1.1802","","-0.57%"
"08/29/2021","1.1882","1.1793","1.1910","1.1782","","0.75%"
"08/22/2021","1.1793","1.1694","1.1803","1.1691","","0.83%"
"08/15/2021","1.1696","1.1794","1.1802","1.1664","","-0.81%"
"08/08/2021","1.1791","1.1762","1.1805","1.1705","","0.26%"
"08/01/2021","1.1760","1.1864","1.1901","1.1753","","-0.93%"
"07/25/2021","1.1870","1.1778","1.1910","1.1763","","0.84%"
"07/18/2021","1.1771","1.1808","1.1831","1.1752","","-0.29%"
"07/11/2021","1.1805","1.1872","1.1881","1.1772","","-0.57%"
"07/04/2021","1.1873","1.1862","1.1896","1.1782","","0.08%"
"06/27/2021","1.1864","1.1935","1.1946","1.1806","","-0.58%"
"06/20/2021","1.1933","1.1868","1.1976","1.1847","","0.62%"
"06/13/2021","1.1860","1.2110","1.2149","1.1846","","-2.03%"
"06/06/2021","1.2106","1.2168","1.2219","1.2092","","-0.49%"
"05/30/2021","1.2165","1.2192","1.2255","1.2104","","-0.20%"
"05/23/2021","1.2189","1.2178","1.2267","1.2132","","0.08%"
"05/16/2021","1.2179","1.2140","1.2246","1.2126","","0.32%"
"05/09/2021","1.2140","1.2161","1.2182","1.2050","","-0.19%"
"05/02/2021","1.2163","1.2031","1.2172","1.1985","","1.21%"
"04/25/2021","1.2018","1.2093","1.2150","1.2016","","-0.67%"
"04/18/2021","1.2099","1.1984","1.2100","1.1942","","0.97%"
"04/11/2021","1.1983","1.1891","1.1996","1.1870","","0.73%"
"04/04/2021","1.1896","1.1761","1.1928","1.1738","","1.14%"
"03/28/2021","1.1762","1.1795","1.1797","1.1703","","-0.29%"
"03/21/2021","1.1796","1.1899","1.1947","1.1761","","-0.90%"
"03/14/2021","1.1903","1.1952","1.1990","1.1874","","-0.41%"
"03/07/2021","1.1952","1.1922","1.1990","1.1835","","0.29%"
"02/28/2021","1.1917","1.2079","1.2113","1.1894","","-1.30%"
"02/21/2021","1.2074","1.2117","1.2243","1.2062","","-0.35%"
"02/14/2021","1.2117","1.2123","1.2170","1.2023","","-0.01%"
"02/07/2021","1.2118","1.2042","1.2150","1.2019","","0.63%"
"01/31/2021","1.2042","1.2140","1.2146","1.1952","","-0.77%"
"01/24/2021","1.2136","1.2168","1.2184","1.2057","","-0.25%"
"01/17/2021","1.2167","1.2085","1.2191","1.2054","","0.74%"
"01/10/2021","1.2078","1.2217","1.2227","1.2074","","-1.15%"
"01/03/2021","1.2218","1.2231","1.2350","1.2191","","0.05%"
"12/27/2020","1.2212","1.2202","1.2311","1.2181","","0.07%"
"12/20/2020","1.2204","1.2242","1.2257","1.2129","","-0.42%"
"12/13/2020","1.2255","1.2131","1.2274","1.2115","","1.19%"
"12/06/2020","1.2111","1.2128","1.2167","1.2059","","-0.07%"
"11/29/2020","1.2120","1.1957","1.2178","1.1924","","1.32%"
"11/22/2020","1.1962","1.1853","1.1965","1.1800","","0.92%"
"11/15/2020","1.1853","1.1829","1.1895","1.1813","","0.18%"
"11/08/2020","1.1832","1.1882","1.1920","1.1745","","-0.34%"
"11/01/2020","1.1872","1.1658","1.1891","1.1603","","1.93%"
"10/25/2020","1.1647","1.1858","1.1861","1.1639","","-1.79%"
"10/18/2020","1.1859","1.1722","1.1882","1.1703","","1.20%"
"10/11/2020","1.1718","1.1819","1.1827","1.1688","","-0.90%"
"10/04/2020","1.1824","1.1716","1.1832","1.1707","","0.95%"
"09/27/2020","1.1713","1.1638","1.1770","1.1615","","0.71%"
"09/20/2020","1.1630","1.1848","1.1873","1.1612","","-1.75%"
"09/13/2020","1.1837","1.1840","1.1901","1.1737","","-0.07%"
"09/06/2020","1.1845","1.1833","1.1918","1.1753","","0.06%"
"08/30/2020","1.1838","1.1899","1.2012","1.1781","","-0.55%"
"08/23/2020","1.1903","1.1787","1.1920","1.1762","","0.92%"
"08/16/2020","1.1795","1.1840","1.1967","1.1754","","-0.39%"
"08/09/2020","1.1841","1.1788","1.1865","1.1710","","0.47%"
"08/02/2020","1.1786","1.1783","1.1917","1.1696","","0.10%"
"07/26/2020","1.1774","1.1646","1.1910","1.1637","","1.03%"
"07/19/2020","1.1654","1.1410","1.1659","1.1401","","2.00%"
"07/12/2020","1.1426","1.1300","1.1452","1.1297","","1.13%"
"07/05/2020","1.1298","1.1242","1.1372","1.1240","","0.44%"
"06/28/2020","1.1248","1.1227","1.1303","1.1185","","0.28%"
"06/21/2020","1.1217","1.1185","1.1350","1.1168","","0.38%"
"06/14/2020","1.1175","1.1245","1.1353","1.1168","","-0.70%"
"06/07/2020","1.1254","1.1289","1.1423","1.1212","","-0.27%"
"05/31/2020","1.1284","1.1097","1.1385","1.1095","","1.68%"
"05/24/2020","1.1098","1.0903","1.1146","1.0870","","1.82%"
"05/17/2020","1.0900","1.0816","1.1010","1.0799","","0.79%"
"05/10/2020","1.0815","1.0838","1.0897","1.0775","","-0.23%"
"05/03/2020","1.0840","1.0980","1.0980","1.0766","","-1.30%"
"04/26/2020","1.0983","1.0809","1.1019","1.0808","","1.51%"
"04/19/2020","1.0820","1.0875","1.0898","1.0726","","-0.51%"
"04/12/2020","1.0876","1.0941","1.0991","1.0812","","-0.54%"
"04/05/2020","1.0935","1.0813","1.0953","1.0768","","1.18%"
"03/29/2020","1.0808","1.1136","1.1145","1.0773","","-2.98%"
"03/22/2020","1.1140","1.0696","1.1148","1.0637","","4.17%"
"03/15/2020","1.0694","1.1085","1.1237","1.0637","","-3.70%"
"03/08/2020","1.1105","1.1292","1.1494","1.1054","","-1.60%"
"03/01/2020","1.1285","1.1003","1.1356","1.1003","","2.36%"
"02/23/2020","1.1025","1.0841","1.1054","1.0805","","1.68%"
"02/16/2020","1.0843","1.0832","1.0864","1.0776","","0.12%"
"02/09/2020","1.0830","1.0951","1.0958","1.0827","","-1.03%"
"02/02/2020","1.0943","1.1092","1.1096","1.0941","","-1.35%"
"01/26/2020","1.1093","1.1021","1.1097","1.0991","","0.64%"
"01/19/2020","1.1023","1.1092","1.1119","1.1020","","-0.59%"
"01/12/2020","1.1088","1.1125","1.1173","1.1085","","-0.29%"
"01/05/2020","1.1120","1.1168","1.1207","1.1085","","-0.34%"
"12/29/2019","1.1158","1.1175","1.1240","1.1125","","-0.15%"
"12/22/2019","1.1175","1.1081","1.1188","1.1069","","0.88%"
"12/15/2019","1.1078","1.1122","1.1176","1.1065","","-0.37%"
"12/08/2019","1.1119","1.1055","1.1200","1.1052","","0.56%"
"12/01/2019","1.1057","1.1014","1.1116","1.1003","","0.38%"
"11/24/2019","1.1015","1.1024","1.1033","1.0980","","-0.06%"
"11/17/2019","1.1022","1.1052","1.1098","1.1014","","-0.25%"
"11/10/2019","1.1050","1.1022","1.1058","1.0989","","0.31%"
"11/03/2019","1.1016","1.1165","1.1176","1.1016","","-1.33%"
"10/27/2019","1.1165","1.1082","1.1176","1.1073","","0.79%"
"10/20/2019","1.1078","1.1143","1.1180","1.1072","","-0.81%"
"10/13/2019","1.1169","1.1044","1.1173","1.0991","","1.17%"
"10/06/2019","1.1040","1.0976","1.1063","1.0941","","0.58%"
"09/29/2019","1.0976","1.0940","1.1000","1.0878","","0.35%"
"09/22/2019","1.0938","1.1016","1.1027","1.0905","","-0.72%"
"09/15/2019","1.1017","1.1087","1.1093","1.0990","","-0.51%"
"09/08/2019","1.1073","1.1024","1.1110","1.0927","","0.42%"
"09/01/2019","1.1027","1.0989","1.1085","1.0926","","0.35%"
"08/25/2019","1.0989","1.1145","1.1166","1.0963","","-1.39%"
"08/18/2019","1.1144","1.1092","1.1154","1.1051","","0.50%"
"08/11/2019","1.1089","1.1202","1.1230","1.1065","","-0.97%"
"08/04/2019","1.1198","1.1101","1.1249","1.1101","","0.82%"
"07/28/2019","1.1107","1.1126","1.1162","1.1025","","-0.16%"
"07/21/2019","1.1125","1.1216","1.1225","1.1100","","-0.85%"
"07/14/2019","1.1220","1.1267","1.1284","1.1198","","-0.43%"
"07/07/2019","1.1269","1.1221","1.1285","1.1192","","0.40%"
"06/30/2019","1.1224","1.1374","1.1374","1.1205","","-1.27%"
"06/23/2019","1.1368","1.1359","1.1412","1.1342","","0.02%"
"06/16/2019","1.1366","1.1214","1.1377","1.1179","","1.42%"
"06/09/2019","1.1207","1.1322","1.1343","1.1200","","-1.09%"
"06/02/2019","1.1331","1.1167","1.1347","1.1154","","1.47%"
"05/26/2019","1.1167","1.1194","1.1215","1.1114","","-0.31%"
"05/19/2019","1.1202","1.1157","1.1212","1.1106","","0.41%"
"05/12/2019","1.1156","1.1240","1.1265","1.1153","","-0.69%"
"05/05/2019","1.1233","1.1170","1.1253","1.1158","","0.29%"
"04/28/2019","1.1200","1.1152","1.1265","1.1133","","0.47%"
"04/21/2019","1.1148","1.1244","1.1263","1.1110","","-0.87%"
"04/14/2019","1.1246","1.1298","1.1324","1.1224","","-0.48%"
"04/07/2019","1.1300","1.1216","1.1325","1.1211","","0.77%"
"03/31/2019","1.1214","1.1216","1.1255","1.1181","","-0.03%"
"03/24/2019","1.1217","1.1292","1.1332","1.1207","","-0.85%"
"03/17/2019","1.1313","1.1322","1.1448","1.1271","","-0.11%"
"03/10/2019","1.1325","1.1238","1.1346","1.1221","","0.77%"
"03/03/2019","1.1238","1.1379","1.1396","1.1176","","-1.20%"
"02/24/2019","1.1374","1.1337","1.1422","1.1323","","0.29%"
"02/17/2019","1.1341","1.1286","1.1373","1.1274","","0.43%"
"02/10/2019","1.1293","1.1328","1.1345","1.1233","","-0.31%"
"02/03/2019","1.1328","1.1455","1.1466","1.1319","","-1.10%"
"01/27/2019","1.1454","1.1407","1.1517","1.1389","","0.37%"
"01/20/2019","1.1412","1.1370","1.1421","1.1288","","0.45%"
"01/13/2019","1.1361","1.1470","1.1493","1.1351","","-0.92%"
"01/06/2019","1.1467","1.1392","1.1571","1.1392","","0.65%"
"12/30/2018","1.1393","1.1443","1.1498","1.1308","","-0.38%"
"12/23/2018","1.1436","1.1371","1.1478","1.1342","","0.61%"
"12/16/2018","1.1367","1.1307","1.1487","1.1299","","0.53%"
"12/09/2018","1.1307","1.1402","1.1444","1.1268","","-0.61%"
"12/02/2018","1.1376","1.1314","1.1424","1.1310","","0.54%"
"11/25/2018","1.1315","1.1342","1.1402","1.1265","","-0.22%"
"11/18/2018","1.1340","1.1403","1.1473","1.1326","","-0.68%"
